date_time,series,value
2023-06-13 12:04:00,spec25,1035
2023-06-13 12:04:00,spec17,1037
2023-06-13 12:04:00,spec9,1023
2023-06-13 12:04:00,spec1,1029
2023-06-13 12:04:00,spec2,1027
2023-06-13 12:04:00,spec3,1026
2023-06-13 12:04:00,spec4,1025
2023-06-13 12:04:00,spec5,1024
2023-06-13 12:04:00,spec6,1023
2023-06-13 12:04:00,spec7,1022
2023-06-13 12:04:00,spec8,1022
2023-06-13 12:04:00,spec10,1023
2023-06-13 12:04:00,spec11,1023
2023-06-13 12:04:00,spec12,1024
2023-06-13 12:04:00,spec13,1027
2023-06-13 12:04:00,spec14,1029
2023-06-13 12:04:00,spec15,1032
2023-06-13 12:04:00,spec16,1034
2023-06-13 12:05:52,spec12,1023
2023-06-13 12:05:52,spec23,1043
2023-06-13 12:05:52,spec22,1045
2023-06-13 12:05:52,spec21,1045
2023-06-13 12:05:52,spec20,1043
2023-06-13 12:05:52,spec19,1041
2023-06-13 12:05:52,spec18,1039
2023-06-13 12:05:52,spec17,1037
2023-06-13 12:05:52,spec16,1034
2023-06-13 12:05:52,spec15,1031
2023-06-13 12:05:52,spec14,1028
2023-06-13 12:05:52,spec13,1025
2023-06-13 12:05:52,spec24,1039
2023-06-13 12:05:52,spec11,1022
2023-06-13 12:05:52,spec10,1021
2023-06-13 12:05:52,spec9,1021
2023-06-13 12:05:52,spec8,1021
2023-06-13 12:05:52,spec7,1021
2023-06-13 12:05:52,spec6,1022
2023-06-13 12:05:52,spec5,1022
2023-06-13 12:05:52,spec4,1023
2023-06-13 12:05:52,spec3,1025
2023-06-13 12:05:52,spec2,1025
2023-06-13 12:05:52,spec1,1026
2023-06-13 12:05:52,spec25,1034
2023-06-13 12:07:43,spec10,1021
2023-06-13 12:07:43,spec19,1041
2023-06-13 12:07:43,spec18,1039
2023-06-13 12:07:43,spec17,1036
2023-06-13 12:07:43,spec16,1032
2023-06-13 12:07:43,spec15,1028
2023-06-13 12:07:43,spec14,1024
2023-06-13 12:07:43,spec13,1022
2023-06-13 12:07:43,spec12,1022
